channel_id,name,handle,agency,discovery_source,first_discovered_at,candidate_status,already_in_frozen_cohort,evidence_strength
UC1s5T_9sfGrRxHJhjEceVSg,Kafune CH.,@kafunech,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.268816+00:00,hiatus,False,HIGH_CONFIDENCE
UC2IZur8-GAsn7gHQNTNOOgQ,Potia PBT,@potiaht,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.268967+00:00,active,False,MEDIUM_CONFIDENCE
UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,@luceneplg,Independent,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.269006+00:00,active,True,HIGH_CONFIDENCE
UC2AmIPun8jDuz1ksnxQTtcw,sunraindre,@sunraindre,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269053+00:00,active,False,HIGH_CONFIDENCE
UC2kjsGpKTwnFKZLLTUkK4Gw,BRRWYN Ch. / QURSE,@brrwynvibeent,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269073+00:00,active,False,MEDIUM_CONFIDENCE
UC32lsx7u7vqy63SguuuzmVg,Narelle ch. 【FIXIX VT】,@narellech.fixixvt,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269098+00:00,hiatus,False,MEDIUM_CONFIDENCE
UC3gREX7tB8vEhPFgAOGr9xg,1KFuu Ch.,@arashifuu,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269121+00:00,active,False,HIGH_CONFIDENCE
UC35EDRwjO07DpevXGxo3Y0g,IKUTO ch.,@ikutoch,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269152+00:00,active,False,HIGH_CONFIDENCE
UC3ZglUA0HEUCuGbe5b8zXKw,The Lupas,@lupasch,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269187+00:00,hiatus,False,MEDIUM_CONFIDENCE
UC2uv9lpMiz72v_qPVFDSZmA,Suiren Ch. ◣PLO◥,@tmr_suiren,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269208+00:00,active,False,HIGH_CONFIDENCE
UC3OnR-Tqd8dHmY-XNHO4iZw,kukiko hikaru,@kukikohikaru4454,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269225+00:00,active,False,MEDIUM_CONFIDENCE
UC1pYd8HCTuc8Kdh_8m_znpA,Freyrina,@freyrinavtuber,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269270+00:00,active,False,MEDIUM_CONFIDENCE
UC3H7_4Gz8PhHeMz0hHwuFTw,Morika Rei【ARRI】[Graduated],@morikareich,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269293+00:00,hiatus,True,MEDIUM_CONFIDENCE
UC1ypugJJiDakFeDlxQO2Tew,Smokesword Channel,@smokeswordch.,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269322+00:00,active,False,MEDIUM_CONFIDENCE
UC3QTic1iBGQN_LzWo7JfDKQ,CallistoSoCool Ch.,@callistosocool,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269350+00:00,active,False,MEDIUM_CONFIDENCE
UC3aHMGHRuQAonBUpE2a94bA,Ryoukatsu Ch.,@ryoukatsu_meow,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269372+00:00,active,False,HIGH_CONFIDENCE
UC3TQ2myWZR8pZiUZ6Cs0-Sw,Bianca Ch. 【ARP】,@bianca_arp,Algorhythm Project,Thai VTuber Ranking,2026-09-06T15:07:31.269414+00:00,hiatus,True,MEDIUM_CONFIDENCE
UC1z-ybaAe5LYfcnDdzp9SGw,กินข้าวแซ่บ,@ginkowzap,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269435+00:00,unknown,False,HIGH_CONFIDENCE
UC1o-4IZwxHOxGyUKN6xpNZA,KIMEWA_YUKI 【SOA】,@kimewa_yuki_soa,Independent,Thai VTuber Ranking,2026-09-06T15:07:31.269464+00:00,active,False,HIGH_CONFIDENCE
UC2z7pz25bgnqLHdTd7EvVoQ,Shishiou Seito Ch. / AStars,@shishiouseito_as,AStars Production,Thai VTuber Ranking; Virtual YouTuber Fandom Wiki,2026-09-06T15:07:31.269480+00:00,active,False,MEDIUM_CONFIDENCE
