event_id,agency_name,event_type,event_date,event_year,description,primary_source_url,secondary_source_url,verification_tier,verification_status,retrieved_at
evt_agn_arp_founding,Algorhythm Project,AGENCY_LAUNCH,2020-09-01,2020,Algorhythm Project announced by Realic Production focusing on music and virtual entertainment.,https://x.com/ARP_Vtuber,https://virtualyoutuber.fandom.com/wiki/Algorhythm_Project,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
evt_agn_arp_orion_launch,Algorhythm Project,UNIT_LAUNCH,2023-03-25,2023,"Launch of Celestial Operation unit ORION (Dacapo, Baabel, Schneider), reaching 100k subscribers in record time.",https://www.youtube.com/watch?v=S38pY94qj68,https://virtualyoutuber.fandom.com/wiki/Algorhythm_Project,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_arp_graduations_2025,Algorhythm Project,TALENT_DEPARTURES,2025-04-04,2025,"Graduation of multiple ARP talents including Quentin (2025-04-02), Ricotta (2025-04-03), and Ayna (2025-04-04).",https://x.com/ARP_Vtuber/status/1897988102767231056,https://virtualyoutuber.fandom.com/wiki/Algorhythm_Project,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_arp_retirements_2026,Algorhythm Project,TALENT_DEPARTURES,2026-01-30,2026,Retirement of Asteroth and Latta from Algorhythm Project.,https://x.com/ARP_Vtuber/status/2016858872414412856,https://virtualyoutuber.fandom.com/wiki/Algorhythm_Project,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_pixela_founding,Pixela Project,AGENCY_LAUNCH,2020-09-10,2020,Pixela Project registration and establishment.,https://x.com/PixelaProject,https://virtualyoutuber.fandom.com/wiki/Pixela_Project,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
evt_agn_pixela_gen1_debut,Pixela Project,GENERATION_DEBUT,2021-03-08,2021,"Debut of Pixela 1st Generation (Cazzie, HongFei, Melita, Laguna, Zelina).",https://www.youtube.com/@PixelaProject,https://virtualyoutuber.fandom.com/wiki/Pixela_Project,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
evt_agn_pixela_gen1_retirements_2023,Pixela Project,TALENT_DEPARTURES,2023-11-30,2023,"Retirement of 1st generation members Hinabe HongFei (2023-11-28), Laguna Juju (2023-11-29), and Melita X (2023-11-30).",https://x.com/PixelaProject/status/1719280010375680199,https://virtualyoutuber.fandom.com/wiki/Pixela_Project,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_pixela_world_end_debut,Pixela Project,UNIT_LAUNCH,2024-05-21,2024,"Debut of Pixela-World-End unit (Beta AMI, Xonebu X'thulhu, Kumoku Tsururu, Mild-R, Debirun, T-Reina Ashyra).",https://x.com/PixelaProject/status/1792905292671566164,https://virtualyoutuber.fandom.com/wiki/Pixela_Project,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_pixela_zelina_grad_2025,Pixela Project,TALENT_DEPARTURE,2025-05-09,2025,"Graduation of Princess Zelina, concluding Pixela 1st Generation active history.",https://x.com/Zelina_Pixela/status/1920786524385202688,https://virtualyoutuber.fandom.com/wiki/Princess_Zelina,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_vz_pioneer_yuchan,Virtual Zeven (VZ),TALENT_DEBUT,2020-03-20,2020,Pioneer Thai VTuber YuChan debuted under Kadokawa Amarin (Phoenix Next).,https://www.youtube.com/@YuChanChannel,https://virtualyoutuber.fandom.com/wiki/Virtual_Zeven,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
evt_agn_vz_reorganization_2023,Virtual Zeven (VZ),AGENCY_RESTRUCTURING,2023-01-01,2023,HØRI 07 founded Virtual Zeven agency operations with 'viewers as owners' concept.,https://x.com/VirtualZeven,https://virtualyoutuber.fandom.com/wiki/Virtual_Zeven,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
evt_agn_vz_quillmon_redebut_2024,Virtual Zeven (VZ),TALENT_RE_DEBUT,2024-04-27,2024,Pioneer Thai YouTuber/VTuber TheQuillmon re-debuted with Live2D model under Virtual Zeven (The Good Old Days unit).,https://www.youtube.com/@TheQuillmon,https://virtualyoutuber.fandom.com/wiki/Virtual_Zeven,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
evt_agn_astars_launch,AStars Production,AGENCY_LAUNCH,2024-07-16,2024,Brave Group APAC announced the launch of AStars and debut of inaugural unit Chrono Prince.,https://x.com/AStarsofficial/status/1815726053744328971,https://virtualyoutuber.fandom.com/wiki/AStars,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_astars_amakara_debut,AStars Production,UNIT_LAUNCH,2024-09-13,2024,"Debut of all-female unit Amakara (Lenezmee Dollynx, Amaris Sayo, Zia Sylph, Ice Shirakoi).",https://x.com/AStarsofficial/status/1828764474452386201,https://virtualyoutuber.fandom.com/wiki/AStars,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_astars_amakara_departures_2025,AStars Production,TALENT_DEPARTURES,2025-04-30,2025,Graduation of Amakara members Amaris Sayo (2025-02-14) and Ice Shirakoi (2025-04-30).,https://x.com/AStarsofficial/status/1888528955219968470,https://virtualyoutuber.fandom.com/wiki/AStars,PRIMARY_EVENT_SPECIFIC,VERIFIED_EXTERNAL_EVIDENCE,2026-09-09T04:36:29.797840+00:00
evt_agn_polygon_aisha_debut,Polygon Official,TALENT_DEBUT,2019-07-29,2019,"Aisha debuted under Guardian Angel A.I., later anchoring Polygon 0th Gen.",https://www.youtube.com/@AishaChannel,https://virtualyoutuber.fandom.com/wiki/Aisha,SECONDARY_DOCUMENTED,SECONDARY_DOCUMENTED,2026-09-09T04:36:29.797840+00:00
